﻿CODGEO;Libellé commune ou ARM;Région;Département;Population en 2012;Population en 2007;Superficie;Naissances entre 2007 et 2012;Décès entre 2007 et 2012;Ménages en 2012;Nombre de naissances domiciliées en 2013;Nombre de décès domiciliés en 2013;Logements en 2012;Résidences principales en 2012;Rés secondaires et logts occasionnels en 2012;Logements vacants en 2012;Rés princ occupées Propriétaires en 2012;Nombre de ménages fiscaux en 2012;Part des ménages fiscaux imposés  en 2012;Médiane du revenu disponible par UC en 2012;Taux de pauvreté en 2012;Emplois au LT en 2012;Emplois salariés au LT en 2012;Emplois au LT en 2007;Pop 15-64 ans en 2012;Chômeurs 15-64 ans en 2012;Actifs 15-64 ans en 2012;Total des ets actifs au 31 décembre 2012;Ets actifs agriculture au 31/12/2012;Ets actifs industrie au 31/12/2012;Ets actifs construction au 31/12/2012;Ets actifs commerce services au 31/12/2012;Ets actifs commerce réparation auto au 31/12/2012;Ets actifs adm publique au 31/12/2012;Ets actifs de 1 à 9 salariés au 31 décembre 2012;Ets actifs 10 salariés ou plus au 31 décembre 2012;coordonnees;Métropole
2A253;Quasquara;94;2A;53.0;56.0;6.11;0.0;5.0;27.0;0.0;1.0;72.0;27.0;44.0;1.0;21.0;;;;;7.0;6.0;8.0;26.0;3.0;17.0;3.0;0.0;0.0;0.0;2.0;1.0;1.0;1.0;0.0;41.9087537102, 9.00836117907;
2B344;Verdèse;94;2B;38.0;29.0;1.02;2.0;5.0;24.2777777778;0.0;0.0;76.2543035994;24.2777777778;48.7942895468;3.18223627479;21.1111111111;;;;;4.22222222222;3.16666666667;4.30402820204;19.0;5.27777777778;11.6111111111;2.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;42.3941662475, 9.37311777417;
2A040;Bocognano;94;2A;454.0;466.0;71.12;17.0;28.0;203.581725743;0.0;9.0;466.580410819;203.581725743;222.613119203;40.385565873;136.410090346;203.0;;19121.1111111;;54.4232321243;28.6727618882;74.5424197858;273.153289314;23.768424833;192.547326837;68.0;12.0;7.0;9.0;37.0;7.0;3.0;11.0;0.0;42.0887432861, 9.07100445274;
2B202;Parata;94;2B;31.0;33.0;2.83;0.0;1.0;16.6071428571;0.0;0.0;34.2197554698;16.6071428571;16.4384384384;1.17417417417;16.6071428571;;;;;0.982848771142;0.0;;5.53571428571;0.0;2.21428571429;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;42.3671701227, 9.41911803519;
2A310;Santa-Maria-Figaniella;94;2A;80.0;82.0;13.09;4.0;6.0;35.0;0.0;1.0;62.0;35.0;27.0;0.0;24.0;;;;;8.94704225352;4.96204225352;10.8574569482;43.0;7.0;29.0;9.0;1.0;2.0;1.0;4.0;0.0;1.0;3.0;0.0;41.725389582, 9.00886511105;
2B361;Zilia;94;2B;293.0;227.0;14.01;22.0;13.0;126.021505376;3.0;4.0;252.521505376;126.021505376;119.241803279;7.25819672131;61.9605734767;123.0;;14806.1111111;;56.6012402039;39.7846012224;42.0581514761;171.17921147;18.9032258065;118.670250896;30.0;7.0;5.0;6.0;10.0;2.0;2.0;5.0;1.0;42.5186011027, 8.90376320006;
2B051;Cambia;94;2B;86.0;75.0;8.28;3.0;9.0;37.6853932584;0.0;0.0;116.927817501;37.6853932584;79.2424242424;0.0;30.9213483146;;;;;31.8772874316;18.88103275;17.2312245768;54.1123595506;1.93258426966;43.4831460674;12.0;3.0;1.0;3.0;4.0;1.0;1.0;2.0;0.0;42.3688581376, 9.30244187201;
2A174;Murzo;94;2A;81.0;97.0;21.44;3.0;4.0;44.8915662651;0.0;0.0;119.513415005;44.8915662651;74.6218487395;0.0;32.2048192771;;;;;9.82251097282;3.96606663967;8.49078686957;47.8192771084;0.975903614458;29.2771084337;25.0;5.0;1.0;5.0;11.0;2.0;3.0;2.0;0.0;42.1585493633, 8.84670847877;
2B148;Lucciana;94;2B;4883.0;4010.0;29.16;275.0;138.0;2097.78049993;55.0;30.0;2538.11987556;2097.78049993;408.346422314;31.9929533152;1077.7788367;1734.0;58.0682475419;17740.9242424;21.05326;2643.160107;2225.50861887;2249.0944147;3274.88554524;312.688921759;2380.43891165;696.0;45.0;49.0;118.0;394.0;122.0;90.0;163.0;54.0;42.5413974263, 9.47269139438;
2B109;Farinole;94;2B;203.0;210.0;14.76;9.0;13.0;95.0;2.0;3.0;212.0;95.0;111.0;6.0;79.0;90.0;;20726.1111111;;28.0100501271;15.0100501271;13.9432179951;116.0;9.0;85.0;26.0;4.0;1.0;5.0;13.0;3.0;3.0;4.0;0.0;42.7298003144, 9.36530466703;
2B343;Venzolasca;94;2B;1657.0;1688.0;16.15;57.0;72.0;708.153661465;19.0;25.0;1270.9974471;708.153661465;435.848346636;126.995438997;365.017406963;554.0;;15823.9130435;;218.47717677;125.710868902;291.96287266;1086.10084034;49.7298919568;663.396758703;138.0;32.0;11.0;28.0;59.0;11.0;8.0;18.0;4.0;42.5014054825, 9.49333701193;
2B030;Barrettali;94;2B;131.0;159.0;18.07;2.0;11.0;75.0;0.0;3.0;252.0;75.0;177.0;0.0;56.0;64.0;;16519.6666667;;23.0258064516;18.0258064516;23.0;58.0;8.0;34.0;18.0;2.0;2.0;2.0;10.0;0.0;2.0;4.0;0.0;42.8731830827, 9.36073943184;
2B252;Pruno;94;2B;183.0;194.0;6.44;3.0;7.0;88.3806818182;0.0;2.0;164.314892344;88.3806818182;69.5301204819;6.40409004439;57.1875;68.0;;17027.3333333;;29.18130425;22.9426678863;19.6286102759;114.375;10.3977272727;81.1022727273;27.0;5.0;1.0;8.0;11.0;3.0;2.0;6.0;0.0;42.4243509668, 9.44755598733;
